date,product_name,price
2024-09-04,Tiras Reagentes para Medição de Glicose G-Tech Lite com 50 Unidades,49.9
2024-09-04,G Losartana 50Mg 30C Omp Med,7.9
2024-09-04,G Tadalafila 20Mg 4C Omp Ems,29.83
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Linguiça Toscana Swift Fina 500 g,18.98
2024-09-04,Leite em Pó Integral Piracanjuba 1kg,46.39
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Leite UHT Tipo A2A2 Semidesnatado Zero Lactose Piracanjuba 1L,10.49
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Leite Semidesnatado UHT Tipo A2A2 Piracanjuba 1L,6.49
2024-09-04,Leite UHT Desnatado Piracanjuba + Fibras 1L,5.99
2024-09-04,Leite em Pó Piracanjuba Integral Instantâneo 400g,16.39
2024-09-04,Leite em Pó Piracanjuba Integral Pouch 800g,42.49
2024-09-04,Leite em Pó Piracanjuba Integral 400g,19.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro 12 unidades,95.59
2024-09-04,Leite Integral UHT Ninho Forti+ Vitaminado 1 L,5.99
2024-09-04,Leite UHT Integral Carrefour Classic 1L,4.69
2024-09-04,Leite Condensado Integral Carrefour Classic 395g,5.45
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Leite Semidesnatado UHT Ninho Levinho Vitaminado 1 L,5.99
2024-09-04,Leite Condensado Integral Carrefour Classic 12 Unidades de 395g,77.99
2024-09-04,Leite Semidesnatado UHT Goiasminas Italac 1 Litro,4.99
2024-09-04,Leite Condensado Semidesnatado MOÇA Caixinha 395g,8.99
2024-09-04,Leite UHT Desnatado Piracanjuba + Fibras 1L,5.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Leite UHT Tipo A2A2 Semidesnatado Zero Lactose Piracanjuba 1L,10.49
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Leite Semidesnatado UHT Tipo A2A2 Piracanjuba 1L,6.49
2024-09-04,Leite em Pó Piracanjuba Integral Instantâneo 400g,16.39
2024-09-04,Leite em Pó Piracanjuba Integral Pouch 800g,42.49
2024-09-04,Leite em Pó Piracanjuba Integral 400g,19.99
2024-09-04,Leite em Pó Integral Piracanjuba 1kg,46.39
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro 12 unidades,95.59
2024-09-04,Leite Integral UHT Ninho Forti+ Vitaminado 1 L,5.99
2024-09-04,Leite UHT Integral Carrefour Classic 1L,4.69
2024-09-04,Leite Condensado Integral Carrefour Classic 395g,5.45
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Leite Semidesnatado UHT Ninho Levinho Vitaminado 1 L,5.99
2024-09-04,Leite Condensado Integral Carrefour Classic 12 Unidades de 395g,77.99
2024-09-04,Leite Semidesnatado UHT Goiasminas Italac 1 Litro,4.99
2024-09-04,Leite Condensado Semidesnatado MOÇA Caixinha 395g,8.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro 12 unidades,95.59
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro 12 unidades,95.59
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Kit Leite em Pó Ninho Integral Lata 380g 4 Unidades,91.29
2024-09-04,Manteiga com Sal Président Tablete 200g,14.99
2024-09-04,Manteiga sem Sal Président Tablete 200g,13.39
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,Queijo Parmesão Cilindro Président 180g,28.09
2024-09-04,Queijo Parmesão Président Aprox. 180g,26.99
2024-09-04,Queijo Parmesão Ralado Président 100g,16.59
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Parmesão Fracionado Tania Aproximadamente 200 g,18.59
2024-09-04,Queijo Provolone Defumado Fracionado Président Aprox 200g,20.61
2024-09-04,Queijo Parmesão Ralado Président 100g,16.59
2024-09-04,Queijo Parmesão Ralado Président 50g,9.39
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,Queijo Gruyere President 160g,27.49
2024-09-04,Queijo Parmesão Cilindro Président 180g,28.09
2024-09-04,Queijo Gouda Président 185g,27.49
2024-09-04,Queijo Mussarela Bolinha Búfala Almeida Prado 395 g,29.39
2024-09-04,Queijo Ralado Quatro Queijos Président 100 g,18.49
2024-09-04,Queijo Brie Président Petit 125 g,38.49
2024-09-04,Queijo Estepe President 160g,27.49
2024-09-04,Queijo Mussarela Bolinha de Búfala Almeida Prado 250 g,40.89
2024-09-04,Queijo Maasdam Président 160g,27.49
2024-09-04,Queijo Camembert Peça President 125g,38.49
2024-09-04,Arroz Branco Prato Fino Tipo 1 - 5kg,36.09
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Mussarela Tirolez Aprox. 380g,36.02
2024-09-04,Arroz Branco Longo-fino Tipo 1 Prato Fino 1 Kg,7.29
2024-09-04,Queijo Minas Padrão 500g,36.34
2024-09-04,Queijo Minas Padrão Verde Campo Aproximadamente 500 g,44.99
2024-09-04,Queijo Minas Padrão Tirolez Aproximadamente 500 g,56.95
2024-09-04,Queijo Minas Padrão Vegano de Castanha de Caju Vida Veg 200g,27.09
2024-09-04,Requeijão Cremoso Catupiry 200g,7.99
2024-09-04,Requeijão Cremoso Catupiry Light 200g,7.99
2024-09-04,Requeijão Cremoso Original Catupiry 250g,14.99
2024-09-04,Requeijão Cremoso Alho Poró Catupiry Culinário 250g,18.49
2024-09-04,Requeijão Cremoso Sabor Cheddar Catupiry Culinário 250 g,18.49
2024-09-04,Sobremesa de Chocolate Chandelle Nestlé 180g com 2 Unidades,4.89
2024-09-04,Chandelle Chocolate Branco Nestlé 360g,8.79
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Sobremesa de Chocolate Chandelle Nestlé 180g com 2 Unidades,4.89
2024-09-04,Chandelle Chocolate Branco Nestlé 360g,8.79
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Iogurte Cremoso Integral Natural Batavo 160 g,2.75
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Creme de Leite UHT Leve Homogeneizado Zero Lactose Nestlé 200g,5.89
2024-09-04,Creme de leite NESTLÉ 300g,8.29
2024-09-04,Creme de Leite NESTLÉ Extra Cremoso 280g,12.49
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,Filé de Peito de Frango em Bifes Levemente Temperado Sadia Pcte 1kg,26.99
2024-09-04,Filé de Frango à parmegiana Sadia 500g,22.49
2024-09-04,Filé de Frango Sadia Assa Fácil 700 g,19.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Filé de Peito de Frango em Bifes Levemente Temperado Sadia Pcte 1kg,26.99
2024-09-04,Filezinho Peito Frango Congelado Sadia Bio 1 Kg,27.99
2024-09-04,Linguiça Tipo Calabresa Sadia 400g,14.29
2024-09-04,Lingüiça de Calabresa Defumada Sadia Aprox. 500g,13.45
2024-09-04,Linguiça Toscana Grossa Sadia Aprox 5Kg,115.95
2024-09-04,Linguiça Defumada Tipo Portuguesa Sadia 400 g,15.29
2024-09-04,Frango em Cubos Temperados Congelado Sadia 400 g,24.99
2024-09-04,Frango a Passarinho Temperado Sadia 1 Kg,17.29
2024-09-04,Frango Tiras Temperado Congelado Sadia 400 g,24.99
2024-09-04,Linguiça Mista Fininha Sadia 240 g,10.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Empanadíssimo de Frango em Tiras Temperado Congelado Sadia Pacote 400g,23.99
2024-09-04,Filé de Peito de Frango em Bifes Levemente Temperado Sadia Pcte 1kg,26.99
2024-09-04,Nuggets de Frango Sadia 700g,27.99
2024-09-04,Nuggets de Frango Tradicional Sadia 300g,7.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,Empanadíssimo de Frango em Tiras de Frango Congelado Sadia Pacote 400g,23.99
2024-09-04,Empanado de Frango Sadia 300g,15.99
2024-09-04,Nuggets de Frango Crocante Sadia 300g,7.99
2024-09-04,Sobrecoxa de Frango Congelada e Temperada Sadia 1Kg,15.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,Filé de Peito de Frango em Bifes Levemente Temperado Sadia Pcte 1kg,26.99
2024-09-04,Filé de Frango à parmegiana Sadia 500g,22.49
2024-09-04,Filé de Frango Sadia Assa Fácil 700 g,19.99
2024-09-04,Sobrecoxa de Frango Congelada e Temperada Sadia 1Kg,15.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,Frango em Cubos Temperados Congelado Sadia 400 g,24.99
2024-09-04,Frango Tiras Temperado Congelado Sadia 400 g,24.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Empanadíssimo de Frango em Tiras Temperado Congelado Sadia Pacote 400g,23.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,Empanadíssimo de Frango em Tiras de Frango Congelado Sadia Pacote 400g,23.99
2024-09-04,Drumete de Frango Congelado Sadia Bio 1 Kg,22.99
2024-09-04,Coração de Frango Congelado Sadia 1 Kg,37.29
2024-09-04,Filezinho Peito Frango Congelado Sadia Bio 1 Kg,27.99
2024-09-04,Meia Asa Frango Congelado Sadia 1 Kg,28.89
2024-09-04,Hambúrguer de Frango Congelado Sadia 12 Unidades,18.49
2024-09-04,Coxinha da Asa Orgânico Congelado Sadia 600 g,36.99
2024-09-04,Sobrecoxa de Frango Congelada e Temperada Sadia 1Kg,15.99
2024-09-04,"Pizza Congelada Sadia Frango com Requeijão e Mussarela 460g +Coca-Cola Sem Açúcar 1,5L",21.74
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Meia Asa Frango Congelado Sadia 1 Kg,28.89
2024-09-04,Coxinha da Asa Orgânico Congelado Sadia 600 g,36.99
2024-09-04,Filé de Frango Sadia Assa Fácil 700 g,19.99
2024-09-04,Coxinhas das Asas Empanadas Sadia 400g,18.99
2024-09-04,Coxinha da Asa Orgânico Congelado Sadia 600 g,36.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,"Picanha Bovina Congelada Aprox 1,6Kg",86.38
2024-09-04,"Picanha Resfriada Maturatta Aprox. 1,5Kg",164.98
2024-09-04,"Picanha Fatiada à Vácuo Carrefour Aprox 1,5 Kg",57.59
2024-09-04,Picanha Suína Congelado Seara Assa Fácil Aproximadamente 800 g,19.18
2024-09-04,"Picanha Ouro Congelada Swift 1,1Kg",98.98
2024-09-04,Picanha Suína Temperada Churrasco Seara Aprox. 850g,33.9
2024-09-04,"Picanha Bovina Cry Carrefour Aprox. 1,5 Kg",77.09
2024-09-04,"Picanha Prata Congelada Swift Aproximadamente 1,2 Kg",87.58
2024-09-04,"Picanha Swift Gran Reserva Aproximadamente 1,3 Kg",197.57
2024-09-04,Picanha Bovina Congelada Swift Mais Aproximadamente 1500g,109.47
2024-09-04,Picanha Selection 1 Kg,109.9
2024-09-04,Picanha Carapreta Resfriado Aproximadamente 1400g,237.86
2024-09-04,Picanha Maturada Wessel 1 Kg,159.9
2024-09-04,Picanha Suína Assa Fácil Swift Aprox. 800g,27.18
2024-09-04,Hambúrguer de Picanha Bovina Swift 480 g,17.98
2024-09-04,Salgadinho de Trigo Picanha Elma Chips Pingo d'Ouro Clássicos 120g,10.49
2024-09-04,Hambúrgue de Picanha Congelado Perdigao Na Brasa com 2 Unidades 300g,15.99
2024-09-04,"Alcatra de Cordeiro Picanha Ovina Congelada Swift Aproximadamente 1,1 Kg",104.48
2024-09-04,Hambúrguer de Picanha Congelado Wessel 400g 2 Unidades,29.39
2024-09-04,Hambúrguer de Picanha Congelado Wessel 240g com 6 Unidades,20.79
2024-09-04,"Picanha Bovina Congelada Aprox 1,6Kg",86.38
2024-09-04,"Picanha Resfriada Maturatta Aprox. 1,5Kg",164.98
2024-09-04,"Picanha Fatiada à Vácuo Carrefour Aprox 1,5 Kg",57.59
2024-09-04,Picanha Suína Congelado Seara Assa Fácil Aproximadamente 800 g,19.18
2024-09-04,"Picanha Ouro Congelada Swift 1,1Kg",98.98
2024-09-04,Picanha Suína Temperada Churrasco Seara Aprox. 850g,33.9
2024-09-04,"Picanha Bovina Cry Carrefour Aprox. 1,5 Kg",77.09
2024-09-04,"Picanha Prata Congelada Swift Aproximadamente 1,2 Kg",87.58
2024-09-04,"Picanha Swift Gran Reserva Aproximadamente 1,3 Kg",197.57
2024-09-04,Picanha Bovina Congelada Swift Mais Aproximadamente 1500g,109.47
2024-09-04,Picanha Selection 1 Kg,109.9
2024-09-04,Picanha Carapreta Resfriado Aproximadamente 1400g,237.86
2024-09-04,Picanha Maturada Wessel 1 Kg,159.9
2024-09-04,Picanha Suína Assa Fácil Swift Aprox. 800g,27.18
2024-09-04,"Alcatra de Cordeiro Picanha Ovina Congelada Swift Aproximadamente 1,1 Kg",104.48
2024-09-04,Bife de Picanha Bovina Carrefour Aproximadamente 600 g,34.61
2024-09-04,Cebola Picante Fugita 400 g,8.99
2024-09-04,Pão de Alho Picante Zinho 300g,9.69
2024-09-04,Atemoya Aprox. 900g,20.61
2024-09-04,"Iogurte Líquido Batavo Graviola 1,150 Kg",13.29
2024-09-04,Filé Mignon Suíno em Medalhão Congelado Seara 800g,22.99
2024-09-04,"Filé Mignon à Vácuo Aprox. 2,5 Kg",191.98
2024-09-04,"Filé Mignon Suíno Swift Aproximadamente 1,2 Kg",20.38
2024-09-04,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-09-04,"Filé Mignon Selection Aprox. 1,7Kg",169.13
2024-09-04,Filé Mignon Bovino Especial Carrefour Aproximadamente 800 g,73.91
2024-09-04,"Filé Mignon Swift Gran Reserva Aproximadamente 1,8 Kg",160.16
2024-09-04,Hambúrguer de Filé Mignon Congelado Wessel 360g com 2 Unidades,21.69
2024-09-04,Ração Úmida Cesar Sachê Cortes Selecionados Sabor Filé Mignon para Cães Adultos 85 g,3.99
2024-09-04,Cordão de Filé Mignon á Vacuo,28.39
2024-09-04,Cordão de Filé Mignon á Vacuo,28.39
2024-09-04,Contra Filé Peça à Vácuo Aprox. 4Kg,177.16
2024-09-04,Contra Filé Entrecote Montana 1 Kg,38.9
2024-09-04,"Contra Filé Swift Bronze Aproximadamente 1,5 Kg",52.5
2024-09-04,"Contra Filé Congelado Swift Aproximadamente 1,4 Kg",61.57
2024-09-04,"Contra Filé Selection Aprox. 1,3 Kg",90.87
2024-09-04,Bife Contra Filé Carrefour Embalagem Familiar Aproximadamente 800 g,38.87
2024-09-04,Filé de Pescada sem Espinha Congelada Costa Sul 800g,38.99
2024-09-04,Alcatra com Maminha a Vácuo Carrefour Aprox. 5 Kg,206.95
2024-09-04,Alcatra Miolo Peça Vácuo Aprox. 4kg,166.36
2024-09-04,"Aranha de Alcatra Bovina Aprox. 1,5 Kg",44.84
2024-09-04,"Miolo de Alcatra Maturatta Aprox. 1,5 Kg",88.04
2024-09-04,"Alcatra Congelada Swift Aproximadamente 1,4 Kg",64.37
2024-09-04,"Alcatra de Cordeiro Picanha Ovina Congelada Swift Aproximadamente 1,1 Kg",104.48
2024-09-04,Alcatra Bovina Moída Carrefour Aproximadamente 500 g,22.19
2024-09-04,"Alcatra Fracionada à Vácuo Aprox. 1,2 Kg",61.19
2024-09-04,"Maminha da Alcatra Friboi Resfriada Aprox. 1,95 Kg",99.49
2024-09-04,Alcatra Selection 1 KG,69.89
2024-09-04,"Alcatra Já Pro Forno Congelado Swift Aproximadamente 1,5 Kg",78.72
2024-09-04,Coxão Duro Moído Carrefour Aproximadamente 500 g,21.24
2024-09-04,Bife de Coxão Duro P/ Milanesa 600g,21.59
2024-09-04,Patinho Bovino Carrefour Aproximadamente 1 kg,41.89
2024-09-04,Patinho Bovino Moído Congelado Wessel 400g,39.59
2024-09-04,Patinho Bovino Moído Congelado Swift Light 500 g,20.9
2024-09-04,Patinho Bovino Moído Congelado Wessel 400g,39.59
2024-09-04,Patinho Moído Wessel 400g,32.99
2024-09-04,Patinho Bovino Moído Congelado Swift Light 500 g,20.9
2024-09-04,Carne Moída Resfriada de Patinho Carrefour Selection 500g,36.89
2024-09-04,Paleta Bovina à Vácuo 500g*NÃO REATIVAR-CÓDIGO DE COMPRA*,25.49
2024-09-04,Paleta Bovina Moída Congelada Swift 500 g,18.98
2024-09-04,Paleta e Músculo Reserva 600g,16.14
2024-09-04,Paleta Bovina Moída Carrefour Aproximadamente 500 g,16.89
2024-09-04,Paleta Bovina Pedaço Carrefour Aproximadamente 1 kg,23.9
2024-09-04,Paleta e Músculo Reserva 600g,16.14
2024-09-04,Costela Minga Bovina Cong Aprox. 2kg,50.78
2024-09-04,"Costela Bovina Já Pro Forno Congelado Swift Aproximadamente 1,8 Kg",62.96
2024-09-04,"Costela Quadrada Congelado Swift Aproximadamente 2,5kg",74.95
2024-09-04,Costela Suína Serrada Refrigerado Carrefour Aprox. 800 g,22.39
2024-09-04,"Peito E Costela Bovino Reserva Congelado Friboi Reserva Aproximadamente 1,8 Kg",48.42
2024-09-04,Hambúrguer de Costela Bovina Congelado Wessel 360g com 2 Unidades,21.69
2024-09-04,Lingüiça Bovina CaraPreta Costela Congelada 300 g,21.39
2024-09-04,Hambúrguer de Costela Maturatta 180g,6.99
2024-09-04,Carré Curto Ovino Congelado Swift Aproximadamente 600 g,74.94
2024-09-04,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-04,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-04,Cupim Bovino Congelado Mais Swift Aproximadamente 1700g,83.27
2024-09-04,Iscas de Cupim Bovino Congelado Swift 500 g,25.98
2024-09-04,"Cupim Já Pro Forno Congelado Swift Aproximadamente 1,4 Kg",74.17
2024-09-04,"Fraldinha à Vácuo 1,5 Kg",49.34
2024-09-04,"Fraldinha Ouro Congelada 1,15 Kg",91.28
2024-09-04,Fraldinha Selection Aprox. 2 Kg,152.18
2024-09-04,Hambúrguer de Fraldinha Maturatta 180g,6.99
2024-09-04,Hambúrguer de Fraldinha Congelado Wessel 360g com 2 Unidades,21.69
2024-09-04,Peça Fraldinha Bovina Resfriada Wessel 800g,139.9
2024-09-04,"Feijão Fradinho Seco Tipo 1, 5 Estrelas, 1kg",18.89
2024-09-04,Feijão Fradinho 5 Estrelas 1kg,9.99
2024-09-04,Feijão Fradinho Cozido no Vapor Caldo Bom 250g,13.59
2024-09-04,Maminha Swift Bronze Kg,35.0
2024-09-04,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-09-04,Maminha Swift Gran Reserva Aproximadamente 900 g,66.51
2024-09-04,"Maminha da Alcatra Friboi Resfriada Aprox. 1,95 Kg",99.49
2024-09-04,"Maminha Hereford Aprox. 1,2 Kg",131.88
2024-09-04,"Maminha Já Pro Forno Congelado Swift Aproximadamente 1,7 Kg",96.73
2024-09-04,"Maminha Selection Aprox. 1,3 Kg",94.77
2024-09-04,Alcatra com Maminha a Vácuo Carrefour Aprox. 5 Kg,206.95
2024-09-04,Farinha Láctea NESTLÉ Tradicional 600g,25.49
2024-09-04,Farinha de Milho Flocão Yoki Kimilho 500g,5.79
2024-09-04,Farinha Trigo Carrefour Classic Pp 1kg,4.89
2024-09-04,Farinha de Trigo Tradicional Dona Benta 1kg,5.49
2024-09-04,Farinha de Trigo Rosa Branca Especial 1Kg,4.79
2024-09-04,Vinho Tinto Português Vinha da Casinha Garrafa 750ml,39.99
2024-09-04,Farinha de Milho Flocos Yoki Kimilho 500g,5.39
2024-09-04,Farinha de Aveia Integral Carrefour Viver 170 g,3.29
2024-09-04,Farinha de Milho Amarela Yoki 500g,6.59
2024-09-04,Frango a Passarinho Seara IQF 1Kg,15.99
2024-09-04,Farinha Láctea NESTLÉ Tradicional 210g,7.99
2024-09-04,"Frango Inteiro Congelado Temperado Seara Frango de Padaria Aproximadamente 1,4 kg",25.05
2024-09-04,Acém Bovino Fracionado à Vácuo 600g,14.34
2024-09-04,Acém e Pescoço Bovino Reserva Congelado Kg,26.9
2024-09-04,Acém Bovina Moída Resfriado Carrefour 500 g,22.69
2024-09-04,Lagarto sem Pele Bovino Congelado Swift Aproximadamente 1 kg,41.98
2024-09-04,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-09-04,"Lagarto Swift Mais Aprox. 1,5Kg",49.47
2024-09-04,"Lagarto em Pedaços Carrefour Aproximadamente 1,100 Kg",39.59
2024-09-04,Carpaccio de Lagarto Congelado Wessel 200g,25.19
2024-09-04,Carpaccio de Carne Bovina Lagarto Congelado Carapreta 200 g,29.89
2024-09-04,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-04,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-09-04,Kit 2 Difusores de Aromas Safira Lavanda Secar Preciosidades 100ml Cada Grátis 1 Home Spray Passion Fine Collection 120ml,43.29
2024-09-04,Lombo Suíno Assa Fácil Congelado Sadia Aproximadamente 750 g,13.49
2024-09-04,Lombo Fatiado Especial em Cortes Resfriado Carrefour Aprox. 750g,20.99
2024-09-04,Lombo Canadense Ceratti Aprox. 120g,6.53
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,Lombo Suíno Temperado Swift Aproximadamente 900 g,22.05
2024-09-04,Lombo De Pirarucu Swift 300 g,24.98
2024-09-04,Lombo Suíno Levissimo Seara Aprox. 200 g,7.65
2024-09-04,Lombo Cozido Defumado Apimentado Prieto Aprox. 120 g,9.32
2024-09-04,Linguiça Lombo com Alho e Ervas Aurora Premium 500g,27.99
2024-09-04,Linguiça de Lombo Swift 500 g,17.96
2024-09-04,Pizza de Lombo Sadia 460g,16.99
2024-09-04,Empanada Congelada de Frango Recheado com Lombo e Mussarela Seara Pacote 110g,4.59
2024-09-04,Copa Lombo Sobrepaleta Sabor & Qualidade 500g,23.44
2024-09-04,"Pizza Congelada Sadia Lombo com Requeijão e Mussarela 460g +Coca-Cola Sem Açúcar 1,5L",21.74
2024-09-04,Bacon Lombo em Cubos Kassel 150 g,9.99
2024-09-04,Pizza Sabor Lombo com Requeijão e Mussarela Confiare 460g,14.69
2024-09-04,Copa Lombo Suino Temperado e Congelado Swift Aproximadamente 900g,22.48
2024-09-04,Lombo Suíno Assa Fácil Congelado Sadia Aproximadamente 750 g,13.49
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,Filé Mignon Suíno em Medalhão Congelado Seara 800g,22.99
