date,product_name,price
2024-09-07,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-07,"Picanha Fatiada à Vácuo Carrefour Aprox 1,5 Kg",57.59
2024-09-07,"Filé Mignon à Vácuo Aprox. 2,5 Kg",174.98
2024-09-07,Cordão de Filé Mignon á Vacuo,28.39
2024-09-07,Contra Filé Peça à Vácuo Aprox. 4Kg,119.96
2024-09-07,Coxão Duro em Pedaços Carrefour Aproximadamente 600 g,17.99
2024-09-07,Patinho Bovino Carrefour Aproximadamente 1 kg,39.99
2024-09-07,Paleta e Músculo Reserva 600g,16.14
2024-09-07,Músculo Bovino Carrefour Aproximadamente 1 kg,29.9
2024-09-07,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-07,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-07,"Coca-Cola 1,5 Litros 6 Unidades",54.89
2024-09-07,Fraldinha Pedaço Aprox. 700g,24.77
2024-09-07,Fraldinha Selection Aprox. 2 Kg,152.18
2024-09-07,Açúcar Refinado União 1kg,4.39
2024-09-07,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg,26.9
2024-09-07,Arroz Branco Prato Fino Tipo 1 - 5kg,34.49
2024-09-07,Filé de Peito de Frango Congelado sem Osso Perdigão 1Kg - Sassami,22.79
2024-09-07,Açúcar Refinado Carrefour 1kg,3.99
2024-09-07,"Suco de Laranja Integral Refrigerado Natural One 100% Suco 1,5 Litros",19.99
2024-09-07,Sabão em Pó Omo Lavagem Perfeita 2.2kg,29.99
2024-09-07,Café Torrado e Moído 3 Corações Tradicional  a Vácuo 500g,18.99
2024-09-07,Salmão Inteiro Fresco Aprox. 4Kg,235.56
2024-09-07,Sal Refinado Carrefour 1Kg,2.39
2024-09-07,Sal Refinado Iodado Branco Lebre 1Kg,2.09
2024-09-07,"Refrigerante Coca-Cola Sem Açúcar 1,5L",8.99
2024-09-07,"Suco de Uva e Maçã Integral Refrigerado Natural One 100% Suco 1,5 Litros",21.99
2024-09-07,Areia Higiênica Carrefour 4kg,39.99
2024-09-07,Salmão Inteiro Congelado Aprox. 2 kg,89.8
2024-09-07,Arroz Branco Longo-fino Tipo 1 Tio João 5 Kg,37.99
2024-09-07,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-09-07,"Lagarto Peça à Vácuo Aprox. 3,5Kg",104.96
2024-09-07,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-07,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-09-07,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-07,Picanha Suína Temperada Carrefour Aproximadamente 800 g,23.99
2024-09-07,"Costela Suína Swift Aproximadamente 1,5 Kg",34.47
2024-09-07,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-07,Linguiça Fina De Calabresa Apimentada  Perdigão 400g,22.89
2024-09-07,Bacon Fatiado Defumado Sadia 250g,22.39
2024-09-07,Bacon Sadia Pedaços Aprox 250 g,10.99
2024-09-07,Presunto Cozido Fatiado Soltíssimo Sadia 200 g,12.49
2024-09-07,Salsicha Tradicional Sadia 500g,11.99
2024-09-07,Hambúrguer Bovino Congelado Sadia 12 unidades,20.99
2024-09-07,Empanadíssimo de Frango em Tiras Temperado Congelado Sadia Pacote 400g,23.99
2024-09-07,Filé de Peito de Frango em Bifes Levemente Temperado Sadia Pcte 1kg,26.99
2024-09-07,Bacon Especial Aurora Aprox. 260g,12.21
2024-09-07,Pedaços de Frango Coxinha da Asa Congelada com Osso Sadia 1Kg,16.19
2024-09-07,Nuggets de Frango Sadia 700g,27.99
2024-09-07,Lasanha à Bolonhesa com Molho Vermelho Sadia 600g,20.49
2024-09-07,Coxa de Frango Congelado Sadia 1 Kg,12.99
2024-09-07,Pizza de Calabresa Sadia 460g,14.19
2024-09-07,Nuggets de Frango Tradicional Sadia 300g,12.99
2024-09-07,Hambúrguer Bovino Congelado Sabor Churrasco Sadia 672g com 12 Unidades,20.99
2024-09-07,Filé de Frango Congelado Sadia Marinados 1Kg,25.89
2024-09-07,Brócolis Congelado Sadia Veg & Tal Pacote 300g,6.99
2024-09-07,Lingüiça de Calabresa Defumada Sadia Aprox. 500g,15.44
2024-09-07,Lombo Suíno Assa Fácil Congelado Sadia Aproximadamente 750 g,18.74
2024-09-07,Lombo de Bacalhau sem Espinha Swift 1Kg,120.98
2024-09-07,Lombo Fatiado Especial em Cortes Resfriado Carrefour Aprox. 750g,20.99
2024-09-07,Lombo Canadense Ceratti Aprox. 120g,6.53
2024-09-07,Lombo Defumado Fatiado Aurora Aproximadamente 120 g,6.47
2024-09-07,Lombo De Pirarucu Swift 300 g,24.98
2024-09-07,Lombo Suíno Levissimo Seara Aprox. 200 g,7.65
2024-09-07,Lombo Cozido Defumado Apimentado Prieto Aprox. 120 g,9.32
2024-09-07,G Tadalafila 5Mg 30C Omp Ems,16.9
2024-09-07,G Nimesulida 100Mg 1 2Comp Ems,10.69
2024-09-07,G Losartana 50Mg 30C Omp Med,7.9
2024-09-07,Tiras Reagentes para Medição de Glicose G-Tech Lite com 50 Unidades,49.9
2024-09-07,G Tadalafila 20Mg 4C Omp Ems,14.9
2024-09-07,Pedaços de Coxinha da Asa de Frango Congelado Seara 1Kg,17.39
2024-09-07,Linguiça Toscana Swift Fina 500 g,18.98
2024-09-07,Leite Integral Piracanjuba 1 Litro,4.49
2024-09-07,Kit Leite Integral Piracanjuba 1 Litro 6 Unidades,37.39
2024-09-07,Leite Desnatado Piracanjuba 1 Litro,4.49
2024-09-07,Leite Semidesnatado Piracanjuba 1 Litro,4.49
2024-09-07,Leite Em Pó Ninho Integral Lata 380g,20.9
2024-09-07,Kit Leite em Pó Ninho Integral Lata 380g 4 Unidades,91.29
2024-09-07,Manteiga com Sal Président Tablete 200g,12.49
2024-09-07,Manteiga sem Sal Président Tablete 200g,12.49
2024-09-07,Queijo Parmesao President 180g,28.79
2024-09-07,Queijo Parmesão Cilindro Président 180g,28.09
2024-09-07,Queijo Parmesão Président Aprox. 180g,26.99
2024-09-07,Queijo Parmesão Ralado Président 100g,16.59
2024-09-07,Queijo Parmesão Fracionado Tania Aproximadamente 200 g,18.59
2024-09-07,Queijo Provolone Defumado Fracionado Président Aprox 200g,20.61
2024-09-07,Queijo Muçarela Fatiado President 150g,11.59
2024-09-07,Queijo Parmesão Ralado Président 50g,9.39
2024-09-07,Queijo Gruyere President 160g,27.49
2024-09-07,Queijo Gouda Président 185g,27.49
2024-09-07,Queijo Mussarela Bolinha Búfala Almeida Prado 395 g,29.39
2024-09-07,Queijo Ralado Quatro Queijos Président 100 g,18.49
2024-09-07,Queijo Brie Président Petit 125 g,38.49
2024-09-07,Queijo Estepe President 160g,27.49
2024-09-07,Queijo Mussarela Bolinha de Búfala Almeida Prado 250 g,40.89
2024-09-07,Queijo Maasdam Président 160g,27.49
2024-09-07,Queijo Camembert Peça President 125g,38.49
2024-09-07,Queijo Gorgonzola Igor Dolce 150g,47.89
2024-09-07,Queijo Mussarela Fatiado Carrefour Aproximadamente 200 g,11.97
2024-09-07,Queijo Parmesão Ralado Vigor 100g,10.99
2024-09-07,Queijo Minas Padrão 500g,36.34
2024-09-07,Queijo Minas Padrão Verde Campo Aproximadamente 500 g,44.99
2024-09-07,Queijo Minas Padrão Tirolez Aproximadamente 500 g,56.95
2024-09-07,Queijo Minas Padrão Vegano de Castanha de Caju Vida Veg 200g,27.09
2024-09-07,Requeijão Cremoso Catupiry 200g,7.59
2024-09-07,Requeijão Cremoso Catupiry Light 200g,7.59
2024-09-07,Requeijão Cremoso Original Catupiry 250g,14.99
2024-09-07,Requeijão Cremoso Catupiry Original Pote 250 g,17.99
2024-09-07,Requeijão Cremoso Alho Poró Catupiry Culinário 250g,18.49
