date,product_name,price
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Minas Padrão 500g,36.34
2024-09-04,Requeijão Cremoso Catupiry 200g,7.99
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,"Pedaços de Frango Asa, Coxinha da Asa, Sobrecoxa e Peito Congelado com Osso Sadia 1Kg",15.99
2024-09-04,Pedaços de Sobrecoxa de Frango Congelado Sadia 1Kg,13.99
2024-09-04,"Filé Mignon à Vácuo Aprox. 2,5 Kg",191.98
2024-09-04,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-09-04,Cordão de Filé Mignon á Vacuo,28.39
2024-09-04,Cordão de Filé Mignon á Vacuo,28.39
2024-09-04,Contra Filé Peça à Vácuo Aprox. 4Kg,177.16
2024-09-04,Alcatra Miolo Peça Vácuo Aprox. 4kg,166.36
2024-09-04,Patinho Bovino Carrefour Aproximadamente 1 kg,41.89
2024-09-04,Paleta e Músculo Reserva 600g,16.14
2024-09-04,Paleta e Músculo Reserva 600g,16.14
2024-09-04,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-04,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-04,"Fraldinha à Vácuo 1,5 Kg",49.34
2024-09-04,"Maminha Swift Mais Aprox. 1,8Kg",84.56
2024-09-04,Acém Bovino Fracionado à Vácuo 600g,14.34
2024-09-04,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-09-04,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-04,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-09-04,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-04,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Bacon Defumado Sadia Aprox. 360g,12.2
2024-09-04,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Manteiga com Sal Président Tablete 200g,14.99
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,Queijo Minas Padrão 500g,36.34
2024-09-04,Requeijão Cremoso Catupiry 200g,7.99
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Filé Mignon Suíno Temperado Resfriado Aprox. 900 g,28.52
2024-09-04,Alcatra Miolo Peça Vácuo Aprox. 4kg,166.36
2024-09-04,Contra Filé Peça à Vácuo Aprox. 4Kg,177.16
2024-09-04,Filé de Frango Peito Congelado sem Osso Sadia 1Kg,22.99
2024-09-04,"Filé Mignon à Vácuo Aprox. 2,5 Kg",191.98
2024-09-04,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-04,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-04,Patinho Bovino Carrefour Aproximadamente 1 kg,41.89
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Manteiga com Sal Président Tablete 200g,14.99
2024-09-04,Requeijão Cremoso Catupiry 200g,7.99
2024-09-04,Bacon Defumado Sadia Aprox. 360g,12.2
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Linguiça Calabresa Perdigão 400 g,14.99
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-09-04,Capa de Filé à Vácuo Aprox. 2 Kg,60.98
2024-09-04,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-04,"Filé Mignon à Vácuo Aprox. 2,5 Kg",191.98
2024-09-04,"Fraldinha à Vácuo 1,5 Kg",49.34
2024-09-04,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,"Cupim Bovino Carrefour Aproximadamente 2,5 Kg",83.23
2024-09-04,"Lagarto Peça à Vácuo Aprox. 3,5Kg",111.62
2024-09-04,Acém Bovino Fracionado à Vácuo 600g,14.34
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Bife de Fígado Congelado Swift Aproximadamente 700 g,13.28
2024-09-04,"Ossobuco Swift Aproximadamente 1,2 Kg",31.18
2024-09-04,"Lombo Suíno Assa Fácil Swift Aprox. 1,4Kg",44.77
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Semidesnatado Piracanjuba Zero Lactose 1 Litro,5.99
2024-09-04,Leite Semidesnatado Piracanjuba 1 Litro,4.99
2024-09-04,Manteiga com Sal Président Tablete 200g,14.99
2024-09-04,Linguiça Toscana Swift 700 g,17.98
2024-09-04,Queijo Parmesao President 180g,28.79
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Mussarela Lac Lelo 400 g,32.39
2024-09-04,Queijo Minas Padrão 500g,36.34
2024-09-04,Requeijão Cremoso Catupiry 200g,7.99
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Iogurte Integral Nestlé Tradicional 170g,3.09
2024-09-04,Iogurte Natural Integral Batavo 170g,2.79
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Condensado Semidesnatado Piracanjuba Caixa 395g,7.99
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
2024-09-04,Creme de Leite NESTLÉ 200g,4.69
2024-09-04,Leite Condensado MOÇA Lata 395g,9.49
2024-09-04,Leite Em Pó Ninho Integral Lata 380g,21.39
